mode,make,model,colour,offence,district,disposal,date,location
Vehicle driver,Volkswagen,Golf,Grey,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-07T00:00:00Z,NA
Vehicle driver,Vauxhall,CORSA,SILVER,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2021-07-07T00:00:00Z,NA
Cyclist,Ford,KA,BLACK,N/A,LD,NFA,2021-07-08T00:00:00Z,NA
Cyclist,Vauxhall,VECTRA,BLUE,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2021-07-08T00:00:00Z,NA
Cyclist,Vauxhall,Corsa,Silver,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2021-07-08T00:00:00Z,NA
Cyclist,Volkswagen,GOLF,SILVER,N/A,CD,NFA,2021-07-08T00:00:00Z,NA
Cyclist,Land Rover,DEFENDER 90,GREEN,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-08T00:00:00Z,NA
Cyclist,PEUGEOT,208,GREY,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-08T00:00:00Z,NA
Cyclist,VOLKSWAGEN,GOLF,SILVER,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-08T00:00:00Z,NA
Cyclist,TOYOTA,YARIS,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-08T00:00:00Z,NA
PEDESTRIAN,AUDI,Q5,GREY,RT88751 Contravene mandatory direction arrows,BD,Conditional Offer,2021-07-08T00:00:00Z,NA
PEDESTRIAN,KIA,SPORTAGE,RED,RT88751 Contravene mandatory direction arrows,BD,Conditional Offer,2021-07-08T00:00:00Z,NA
PEDESTRIAN,VAUXHALL,ASTRA,SILVER,N/A,LD,NFA,2021-07-08T00:00:00Z,NA
Vehicle driver,Fiat,500,BLUE,N/A,LD,NFA,2021-07-08T00:00:00Z,NA
Vehicle driver,Volkswagen,GOLF R,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-08T00:00:00Z,NA
Vehicle driver,YAMAHA,XJ6 DIVERSION,GREY,N/A,LD,NFA,2021-07-08T00:00:00Z,NA
Vehicle driver,Honda,CRV,SILVER,N/A,KD,NFA,2021-07-08T00:00:00Z,NA
vehicle driver,FORD,TRANSIT,WHITE,N/A,BD,NFA,2021-07-08T00:00:00Z,NA
Vehicle driver,VOLKSWAGEN,GOLF,BLACK,N/A,BD,NFA,2021-07-08T00:00:00Z,NA
Cyclist,Ford,KA,BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2021-07-09T00:00:00Z,NA
Cyclist,Ford,KA,BLACK,RT88575 Drive without due care and attention,LD,Conditional Offer,2021-07-09T00:00:00Z,NA
Cyclist,Kia,RIO,WHITE,RT88575 Drive without due care and attention,WD,Educational Course,2021-07-09T00:00:00Z,NA
Cyclist,AUDI,A3,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Peugeot,208,WHITE,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Toyota,Auris Estate,Blue,RT88751 Contravene mandatory direction arrows,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Mercedes -Benz,C220 AMG Coupe,White,RT88575 Drive without due care and attention,BD,Conditional Offer,2021-07-09T00:00:00Z,NA
Pedestrian,Mercedes -Benz,AMG,Silver,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Qingqi,QM125,white,RT88751 Contravene mandatory direction arrows,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Volkswagen,Polo,Silver,RT88751 Contravene mandatory direction arrows,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Piaggio,Vespa LX125,Black,RT88751 Contravene mandatory direction arrows,BD,Educational Course,2021-07-09T00:00:00Z,NA
Pedestrian,Mercedes -Benz,CLA,silver,RT88751 Contravene mandatory direction arrows,BD,Educational Course,2021-07-09T00:00:00Z,NA
PEDESTRIAN,BMW,X5,BLUE,RT88751 Contravene mandatory direction arrows,BD,Conditional Offer,2021-07-09T00:00:00Z,NA
PEDESTRIAN,FORD,MONDEO,SILVER,RT88751 Contravene mandatory direction arrows,BD,Conditional Offer,2021-07-09T00:00:00Z,NA
Vehicle driver,Audi,A4,RED,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,BD,Educational Course,2021-07-09T00:00:00Z,NA
Vehicle driver,Volkswagen,CADDY,GREEN,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2021-07-09T00:00:00Z,NA
Vehicle driver,Volkswagen,POLO,SILVER,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,LD,Educational Course,2021-07-09T00:00:00Z,NA
Vehicle driver,Mini,PACEMAN,BLACK,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,BD,Educational Course,2021-07-09T00:00:00Z,NA
VEHICLE DRIVER,BMW,320,SILVER,RT88575 Drive without due care and attention,BD,Conditional Offer,2021-07-09T00:00:00Z,NA
vehicle driver,Mitsubishi,COLT,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-09T00:00:00Z,NA
vehicle driver,RENAULT,TRAFFIC,SILVER,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2021-07-09T00:00:00Z,NA
vehicle driver,TOYOTA,AYGO,SILVER,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2021-07-09T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,C180,BLACK,RT88971 Fail to comply with Red traffic light,KD,Educational Course,2021-07-09T00:00:00Z,NA
Vehicle driver,Mazda,6,GREY,N/A,BD,NFA,2021-07-10T00:00:00Z,NA
Cyclist,Skoda,KAMIQ,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-10T00:00:00Z,NA
Cyclist,BMW,530,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-10T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,C250,SILVER,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-10T00:00:00Z,NA
Vehicle driver,Volkswagen,GOLF,SILVER,RT88971 Fail to comply with Red traffic light,LD,Conditional Offer,2021-07-10T00:00:00Z,NA
Vehicle driver,Volkswagen,GOLF,RED,N/A,KD,NFA,2021-07-10T00:00:00Z,NA
Vehicle driver,BMW,M235I,BLACK,RT88760 Fail to comply with solid white lines,LD,Educational Course,2021-07-10T00:00:00Z,NA
Vehicle driver,Vauxhall,ASTRA GTC,WHITE,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2021-07-10T00:00:00Z,NA
CYCLIST,PEUGEOT,2008,BLUE,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2021-07-11T00:00:00Z,NA
Vehicle driver,Vauxhall,Insignia,Black,N/A,unknown,NFA,2021-07-11T00:00:00Z,NA
Vehicle driver,Toyota,Yaris,White,N/A,LD,NFA,2021-07-11T00:00:00Z,NA
vehicle driver,VOLKSWAGEN,GOLF,BLUE,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-11T00:00:00Z,NA
vehicle driver,Land Rover,RANGE ROVER,BLUE,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-11T00:00:00Z,NA
vehicle driver,Volkswagen,Scirocco,WHITE,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-11T00:00:00Z,NA
vehicle driver,VAUXHALL,ASTRA,SILVER,RT88575 Drive without due care and attention,LD,Educational Course,2021-07-11T00:00:00Z,NA
vehicle driver,BMW,318I,BLACK,RT88760 Fail to comply with solid white lines,KD,Educational Course,2021-07-11T00:00:00Z,NA
vehicle driver,VOLKSWAGEN,POLO,BLUE,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-11T00:00:00Z,NA
vehicle driver,TOYOTA,YARIS,GREEN,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-11T00:00:00Z,NA
Vehicle passenger,TOYOTA,AYGO,GREY,N/A,LD,NFA,2021-07-11T00:00:00Z,NA
PEDESTRIAN,VOLVO,BUS,RED,HY35001 Drive/ride on footpath beside a road,BD,Educational Course,2021-07-12T00:00:00Z,NA
Vehicle driver,Citroen,C3,BLUE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2021-07-12T00:00:00Z,NA
Vehicle driver,Ford,Focus,Black,N/A,LD,NFA,2021-07-12T00:00:00Z,NA
Vehicle driver,Ford,TRANSIT,WHITE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,KD,Educational Course,2021-07-12T00:00:00Z,NA
Vehicle driver,WRIGHTBUS,STREETLIFE,MULTI-COLOURED,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,CD,Educational Course,2021-07-12T00:00:00Z,NA
Vehicle driver,Bentley,BENTAYGA,GREY,N/A,unknown,NFA,2021-07-12T00:00:00Z,NA
Vehicle driver,Volkswagen,TRANSPORTER,SILVER,N/A,unknown,NFA,2021-07-12T00:00:00Z,NA
VEHICLE DRIVER,SCANIA,UNKNOWN,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-12T00:00:00Z,NA
Cyclist,MG,HS,WHITE,N/A,LD,NFA,2021-07-13T00:00:00Z,NA
Cyclist,Toyota,AYGO,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-13T00:00:00Z,NA
Cyclist,AlEXANDER DENNIS,DOUBLE DECKER,ORANGE/BLACK,N/A,unknown,NFA,2021-07-13T00:00:00Z,NA
Cyclist,Volkswagen,POLO,RED,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-13T00:00:00Z,NA
UNKNOWN,HGV,HGV,UNKNOWN,SUSPECTED CONTRAVENE WEIGHT RESTRICTION.,KD,DSIT INVESTIGATION,2021-07-13T00:00:00Z,NA
UNKNOWN,MAN,HEAVY TRACTOR ARTIC,WHITE,RR84087 Use prohibited vehicle on road subject to restriction/prohibition,KD,Conditional Offer,2021-07-13T00:00:00Z,NA
UNKNOWN,MAN,Heavy Tractor articulated,White,RR84087 Use prohibited vehicle on road subject to restriction/prohibition,KD,Conditional Offer,2021-07-13T00:00:00Z,NA
UNKNOWN,HGV,HGV,UNKNOWN,SUSPECTED CONTRAVENE WEIGHT RESTRICTION.,KD,DSIT INVESTIGATION,2021-07-13T00:00:00Z,NA
UNKNOWN,BMW,330D,GREY,N/A,LD,NFA,2021-07-13T00:00:00Z,NA
Vehicle driver,Jaguar,S TYPE,BLACK,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle driver,BMW,X5,BLACK,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle driver,Toyota,VERSO,GREY,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle driver,Toyota,VERSO,GREY,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle driver,Fiat,PANDA,BLUE,N/A,BD,NFA,2021-07-13T00:00:00Z,NA
Vehicle driver,Audi,A3,BLUE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle driver,Peugeot,306,GREY,N/A,LD,NFA,2021-07-13T00:00:00Z,NA
Vehicle driver,Honda,125CC,BLACK,N/A,CD,NFA,2021-07-13T00:00:00Z,NA
Vehicle driver,Vauxhall,ZAFIRA,SILVER,RT88751 Contravene mandatory direction arrows,LD,Conditional Offer,2021-07-13T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,A 180 AMG,white,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle passenger,Vauxhall,Insignia,Blue,N/A,BD,NFA,2021-07-13T00:00:00Z,NA
Vehicle passenger,Volkswagen,GOLF,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-13T00:00:00Z,NA
Vehicle passenger,Peugeot,308,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-13T00:00:00Z,NA
Cyclist,Skoda,OCTAVIA,GREY,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-14T00:00:00Z,NA
Cyclist,BMW,I3,RED & BLACK,RT88575 Drive without due care and attention,LD,Educational Course,2021-07-14T00:00:00Z,NA
Cyclist,Suzuki,Swift,Blue,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-14T00:00:00Z,NA
Cyclist,Mercedes -Benz,A200,Black,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-14T00:00:00Z,NA
Cyclist,Vauxhall,INSIGNIA,WHITE,RT88575 Drive without due care and attention,WD,Educational Course,2021-07-14T00:00:00Z,NA
Cyclist,Toyota,YARIS,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-14T00:00:00Z,NA
Cyclist,Volkswagen,GOLF,RED,RT88575 Drive without due care and attention,LD,Educational Course,2021-07-14T00:00:00Z,NA
Vehicle driver,Audi,S3,BLUE,RT88760 Fail to comply with solid white lines,CD,Conditional Offer,2021-07-14T00:00:00Z,NA
Vehicle driver,Mitsubishi,SHOGUN,RED,N/A,BD,NFA,2021-07-14T00:00:00Z,NA
Vehicle driver,Audi,A3,BLACK,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2021-07-14T00:00:00Z,NA
Vehicle driver,Vauxhall,INSIGNIA,BLUE,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,BD,Educational Course,2021-07-14T00:00:00Z,NA
Vehicle driver,Man,CURTAIN SIDE,WHITE,N/A,LD,NFA,2021-07-14T00:00:00Z,NA
Vehicle driver,Ford,TRANSIT TIPPER,WHITE,RT88575 Drive without due care and attention,CD,Educational Course,2021-07-14T00:00:00Z,NA
Vehicle driver,Ford,FIESTA,SILVER,RT88575 Drive without due care and attention,KD,Educational Course,2021-07-14T00:00:00Z,NA
Vehicle driver,Volkswagen,Golf,Black,N/A,LD,NFA,2021-07-14T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,C220,SILVER,N/A,CD,NFA,2021-07-14T00:00:00Z,NA
Vehicle driver,Unknown,UNKNOWN,"SILVER, YELLOW & GREEN",N/A,LD,NFA,2021-07-14T00:00:00Z,NA
Vehicle driver,BMW,320D,SILVER,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,WD,Educational Course,2021-07-14T00:00:00Z,NA
Vehicle driver,Seat,LEON,BLUE,N/A,KD,NFA,2021-07-14T00:00:00Z,NA
Cyclist,BMW,520D,SILVER,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-15T00:00:00Z,NA
Cyclist,Hyundai,I30,SILVER,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-15T00:00:00Z,NA
Cyclist,Ford,FUSION,BLUE,N/A,BD,NFA,2021-07-15T00:00:00Z,NA
UNKNOWN,Toyota,YARIS,SILVER,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2021-07-15T00:00:00Z,NA
Vehicle driver,BMW,418D,BLACK,RT88760 Fail to comply with solid white lines,WD,Educational Course,2021-07-15T00:00:00Z,NA
Vehicle driver,Land Rover,RANGE ROVER,GREY,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-15T00:00:00Z,NA
Vehicle driver,Nissan,PULSAR,WHITE,RT88971 Fail to comply with Red traffic light,KD,Conditional Offer,2021-07-15T00:00:00Z,NA
Vehicle driver,Seat,IBIZA,SILVER,ZP97004 Fail to comply with Red Light Pelican crossing,BD,Conditional Offer,2021-07-15T00:00:00Z,NA
Vehicle driver,Vauxhall,Astra,Grey,N/A,BD,NFA,2021-07-15T00:00:00Z,NA
Vehicle driver,Renault,MEGANNE,BLUE,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2021-07-15T00:00:00Z,NA
Vehicle driver,Toyota,YARIS,Blue,RT88751 Motor vehicle fail to comply with a non-endorsable traffic sign other (specify),LD,Educational Course,2021-07-15T00:00:00Z,NA
Vehicle driver,BMW,335D,BLUE,N/A,LD,NFA,2021-07-15T00:00:00Z,NA
Vehicle driver,Vauxhall,ASTRA,SILVER,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-15T00:00:00Z,NA
Vehicle driver,Lexus,CT200,WHITE,N/A,BD,NFA,2021-07-15T00:00:00Z,NA
Cyclist,Mercedes -Benz,SPRINTER,GREEN,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2021-07-16T00:00:00Z,NA
Vehicle driver,Vauxhall,ASTRA,BRONZE,RT88971 Fail to comply with Red traffic light,BD,Educational Course,2021-07-16T00:00:00Z,NA
Vehicle driver,Nissan,QASHQAI,SILVER,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2021-07-16T00:00:00Z,NA
Vehicle driver,BMW,116D,WHITE,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2021-07-16T00:00:00Z,NA
Vehicle driver,Audi,RS6,GREY,RT88575 Drive without due care and attention,BD,Court,2021-07-16T00:00:00Z,NA
Vehicle driver,Skoda,OCTAVIA,SILVER,N/A,LD,NFA,2021-07-16T00:00:00Z,NA
Cyclist,Suzuki,Unknown,red,N/A,KD,NFA,2021-07-17T00:00:00Z,NA
Cyclist,Suzuki,Unknown,red,N/A,KD,NFA,2021-07-17T00:00:00Z,NA
Cyclist,ORBEA,ONIX,RED & WHITE,RT88575 Drive without due care and attention,KD,Conditional Offer,2021-07-17T00:00:00Z,NA
Cyclist,Unknown,unknown,white,N/A,KD,NFA,2021-07-17T00:00:00Z,NA
Cyclist,Audi,Unknown,red,N/A,CD,NFA,2021-07-17T00:00:00Z,NA
Vehicle driver,BMW,3 Series,White,RT88576 Drive without reasonable consideration to others,KD,Conditional Offer,2021-07-17T00:00:00Z,NA
Vehicle driver,BMW,unknown,white,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2021-07-17T00:00:00Z,NA
Vehicle driver,Piaggio,Typhoon 50,red,RT88576 Drive without reasonable consideration to others,KD,Court,2021-07-17T00:00:00Z,NA
Vehicle driver,Land Rover,Discovery,White,N/A,BD,NFA,2021-07-17T00:00:00Z,NA
Vehicle driver,BMW,3 Series,White,RT88576 Drive without reasonable consideration to others,KD,Conditional Offer,2021-07-17T00:00:00Z,NA
Vehicle driver,Land Rover,Discovery,White,N/A,BD,NFA,2021-07-17T00:00:00Z,NA
Vehicle driver,BMW,unknown,white,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2021-07-17T00:00:00Z,NA
Vehicle driver,Piaggio,Typhoon 50,red,RT88576 Drive without reasonable consideration to others,KD,Court,2021-07-17T00:00:00Z,NA
Vehicle driver,Renault,CLIO,BLACK,RT88576 Drive without reasonable consideration to others,CD,Educational Course,2021-07-17T00:00:00Z,NA
Vehicle driver,Vauxhall,Vectra,dark,N/A,WD,NFA,2021-07-17T00:00:00Z,NA
Vehicle driver,BMW,120,grey,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2021-07-17T00:00:00Z,NA
Vehicle driver,BMW,3 series,white,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2021-07-17T00:00:00Z,NA
Vehicle driver,Unknown,unknown panel van,white,N/A,LD,NFA,2021-07-17T00:00:00Z,NA
Cyclist,BMW,116i,black,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-18T00:00:00Z,NA
Cyclist,Suzuki,Celerio,White,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-18T00:00:00Z,NA
Cyclist,Land Rover,Discovery,Black,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-18T00:00:00Z,NA
Vehicle driver,Vauxhall,Corsa,white,N/A,KD,NFA,2021-07-18T00:00:00Z,NA
Vehicle driver,Ford,Fiesta,white,RT88576 Drive without reasonable consideration to others,WD,Educational Course,2021-07-18T00:00:00Z,NA
Vehicle driver,Saab,44442,silver,RT88575 Drive without due care and attention,LD,Educational Course,2021-07-18T00:00:00Z,NA
Vehicle driver,BMW,118i,Grey,N/A,WD,NFA,2021-07-18T00:00:00Z,NA
Vehicle driver,Hyundai,Getz,blue,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-18T00:00:00Z,NA
Vehicle driver,Ford,Transit,White,N/A,unknown,NFA,2021-07-18T00:00:00Z,NA
Vehicle driver,Land Rover,Discovery,Grey,RT88971 Fail to comply with Red traffic light,LD,Educational Course,2021-07-18T00:00:00Z,NA
Cyclist,Mercedes -Benz,C220,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-19T00:00:00Z,NA
Pedestrian,Audi,A4,GREY,N/A,BD,NFA,2021-07-19T00:00:00Z,NA
Vehicle driver,Volkswagen,GOLF R,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-19T00:00:00Z,NA
Vehicle driver,Audi,A5,BLACK,N/A,unknown,NFA,2021-07-19T00:00:00Z,NA
Vehicle driver,Volkswagen,GOLF R ESTATE,WHITE,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-19T00:00:00Z,NA
Vehicle driver,DUCATI,MULTISTRADA,RED,N/A,KD,NFA,2021-07-19T00:00:00Z,NA
Vehicle driver,BMW,R 1250 GS,MULTI-COLOURED,N/A,KD,NFA,2021-07-19T00:00:00Z,NA
Vehicle driver,Jaguar,XE,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-19T00:00:00Z,NA
Vehicle driver,Volkswagen,GOLF,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-19T00:00:00Z,NA
Cyclist,Audi,A3,RED,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-19T00:00:00Z,NA
Vehicle driver,BMW,320,white,RT88576 Drive without reasonable consideration to others,LD,Conditional Offer,2021-07-19T00:00:00Z,NA
Vehicle driver,Renault,Clio,blue,RT88576 Drive without reasonable consideration to others,CD,Conditional Offer,2021-07-19T00:00:00Z,NA
Vehicle driver,Volkswagen,Crafter,white,N/A,KD,NFA,2021-07-19T00:00:00Z,NA
Vehicle driver,Volkswagen,Golf,grey,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,WD,Educational Course,2021-07-19T00:00:00Z,NA
Vehicle driver,Audi,unknown,red,N/A,LD,NFA,2021-07-19T00:00:00Z,NA
Vehicle driver,BMW,116,red,RT88576 Drive without reasonable consideration to others,BD,Conditional Offer,2021-07-19T00:00:00Z,NA
Vehicle driver,Toyota,Yaris,silver,N/A,KD,NFA,2021-07-19T00:00:00Z,NA
Cyclist,Ford,Fiesta,red,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2021-07-19T00:00:00Z,NA
Vehicle driver,Toyota,Corolla,white,RT88576 Drive without reasonable consideration to others,KD,Educational Course,2021-07-19T00:00:00Z,NA
Cyclist,Audi,A1,white,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-19T00:00:00Z,NA
Cyclist,Ford,Transit,Black,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,LD,Educational Course,2021-07-20T00:00:00Z,NA
Cyclist,Toyota,Corolla Verso,Red,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2021-07-20T00:00:00Z,NA
Vehicle driver,Volkswagen,Polo,Silver,RT88575 Drive without due care and attention,WD,Conditional Offer,2021-07-20T00:00:00Z,NA
Vehicle driver,Toyota,Yaris,Blue,N/A,BD,NFA,2021-07-20T00:00:00Z,NA
Vehicle driver,Vauxhall,Corsa,Blue,RT88575 Drive without due care and attention,BD,Educational Course,2021-07-20T00:00:00Z,NA
Cyclist,Seat,Leon,White,RT88575 Drive without due care and attention,KD,Educational Course,2021-07-20T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,C63 AMG,silver,RT88575 Drive without due care and attention,BD,Court,2021-07-20T00:00:00Z,NA
Pedestrian,Unknown,unknown,unknown,N/A,BD,NFA,2021-07-20T00:00:00Z,NA
Vehicle driver,Peugeot,206,silver,N/A,LD,NFA,2021-07-20T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,CLS 250,Blue,RT88575 Drive without due care and attention,BD,Court,2021-07-20T00:00:00Z,NA
Vehicle driver,Volkswagen,Polo,white,RT88971 Fail to comply with Red traffic light,CD,Educational Course,2021-07-20T00:00:00Z,NA
Cyclist,Mercedes -Benz,SPRINTER,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-21T00:00:00Z,NA
Vehicle driver,BMW,3 SERIES,BLACK,RT88576 Drive without reasonable consideration to others,KD,Conditional Offer,2021-07-21T00:00:00Z,NA
Vehicle driver,Seat,LEON,BLACK,N/A,unknown,NFA,2021-07-21T00:00:00Z,NA
Vehicle driver,BMW,320,WHITE,RT88575 Drive without due care and attention,BD,Conditional Offer,2021-07-21T00:00:00Z,NA
Pedestrian,BMW,M135i,WHITE,RT88575 Drive without due care and attention,WD,Conditional Offer,2021-07-21T00:00:00Z,NA
Vehicle driver,Vauxhall,CORSA,WHITE,N/A,BD,NFA,2021-07-21T00:00:00Z,NA
Vehicle driver,Vauxhall,MOKKA,WHITE,RT88575 Drive without due care and attention,WD,Conditional Offer,2021-07-21T00:00:00Z,NA
UNKNOWN,Vauxhall,CORSA,BLACK,N/A,LD,NFA,2021-07-21T00:00:00Z,NA
Vehicle driver,Land Rover,FREELANDER,BLACK,RT88576 Drive without reasonable consideration to others,LD,Conditional Offer,2021-07-21T00:00:00Z,NA
Vehicle driver,Audi,A4,GREY,ZP97005 Overtake within limits of Pelican crossing,BD,Conditional Offer,2021-07-21T00:00:00Z,NA
Vehicle driver,Ford,TRANSIT,silver,RT88576 Drive without reasonable consideration to others,KD,Court,2021-07-21T00:00:00Z,NA
Vehicle driver,Audi,S5,GREY,RT88971 Fail to comply with Red traffic light,BD,Conditional Offer,2021-07-21T00:00:00Z,NA
Vehicle driver,Mini,COUNTRYMAN,GRE,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,LD,Educational Course,2021-07-22T00:00:00Z,NA
Vehicle driver,Mercedes -Benz,350AMG,WHITE,RT88576 Drive without reasonable consideration to others,BD,Conditional Offer,2021-07-22T00:00:00Z,NA
Vehicle driver,Ford,TRANSIT,WHITE,RT88971 Fail to comply with Red traffic light,WD,Educational Course,2021-07-22T00:00:00Z,NA
Vehicle driver,BMW,640D,BLACK,RT88971 Fail to comply with Red traffic light,WD,Educational Course,2021-07-22T00:00:00Z,NA
Vehicle driver,BMW,X5,BLACK,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2021-07-22T00:00:00Z,NA
Vehicle driver,Toyota,Yaris,white,N/A,LD,NFA,2021-07-22T00:00:00Z,NA
Vehicle driver,Volkswagen,Caddy,silver,N/A,KD,NFA,2021-07-22T00:00:00Z,NA
UNKNOWN,Husqvarna,TE125,red and white,RT88575 Drive without due care and attention,CD,Conditional Offer,2021-07-22T00:00:00Z,NA
Vehicle passenger,John Deere,Tractor,Green and Yellow,N/A,unknown,NFA,2021-07-22T00:00:00Z,NA
Vehicle driver,Vauxhall,MOKKA X,GREY,RT88751 Motor vehicle fail to comply with a non-endorsable traffic sign other (specify),LD,Conditional Offer,2021-07-22T00:00:00Z,NA
Vehicle driver,Ford,TRANSIT,WHITE,RT88575 Drive without due care and attention,WD,Court,2021-07-22T00:00:00Z,NA
Vehicle driver,Mini,COOPER,RED,N/A,WD,NFA,2021-07-22T00:00:00Z,NA
